[01] , [5C] , [00] , [56] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:23:929
[02] , [5B] , [00] , [57] , [E0] , [71] , [FA] , [D2] , 25:10:16:42:23:963
[03] , [5B] , [00] , [57] , [0F] , [8C] , [1E] , [25] , 25:10:16:42:23:996
[01] , [5C] , [00] , [58] , [0D] , [6C] , [22] , [CA] , 25:10:16:42:24:063
[02] , [5B] , [00] , [58] , [E0] , [71] , [FA] , [D2] , 25:10:16:42:24:096
[03] , [5B] , [00] , [58] , [0F] , [8C] , [1F] , [25] , 25:10:16:42:24:129
[01] , [5C] , [00] , [59] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:24:196
[02] , [5B] , [00] , [59] , [E0] , [71] , [FA] , [D2] , 25:10:16:42:24:229
[03] , [5B] , [00] , [59] , [0F] , [8C] , [1F] , [25] , 25:10:16:42:24:262
[01] , [5C] , [00] , [5A] , [0D] , [6C] , [22] , [CA] , 25:10:16:42:24:329
[02] , [5B] , [00] , [5B] , [E0] , [71] , [F9] , [D2] , 25:10:16:42:24:362
[03] , [5C] , [00] , [5B] , [0F] , [8C] , [1F] , [25] , 25:10:16:42:24:396
[01] , [5B] , [00] , [5C] , [0C] , [6C] , [22] , [CA] , 25:10:16:42:24:463
[02] , [5B] , [00] , [5C] , [E0] , [71] , [F9] , [D2] , 25:10:16:42:24:496
[03] , [5C] , [00] , [5C] , [0F] , [8C] , [1F] , [25] , 25:10:16:42:24:529
[01] , [5C] , [00] , [5D] , [0D] , [6C] , [22] , [CA] , 25:10:16:42:24:596
[02] , [5B] , [00] , [5D] , [E0] , [71] , [F9] , [D2] , 25:10:16:42:24:630
[03] , [5B] , [00] , [5D] , [0F] , [8C] , [1F] , [25] , 25:10:16:42:24:663
[01] , [5C] , [00] , [5E] , [0D] , [6C] , [22] , [CA] , 25:10:16:42:24:729
[02] , [5B] , [00] , [5F] , [E0] , [71] , [F9] , [D2] , 25:10:16:42:24:763
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:42:24:862
[01] , [5B] , [00] , [60] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:24:862
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:42:24:929
[03] , [5B] , [00] , [60] , [0F] , [8C] , [1F] , [25] , 25:10:16:42:24:929
[01] , [5B] , [00] , [61] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:24:996
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:42:25:062
[03] , [5B] , [00] , [61] , [0F] , [8C] , [1F] , [26] , 25:10:16:42:25:062
[01] , [5B] , [00] , [62] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:25:129
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:42:25:196
[03] , [5B] , [00] , [63] , [0F] , [8C] , [1F] , [26] , 25:10:16:42:25:196
[01] , [5B] , [00] , [64] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:25:262
[02] , [5B] , [00] , [64] , [E0] , [71] , [F9] , [D2] , 25:10:16:42:25:296
[03] , [5C] , [00] , [64] , [0F] , [8C] , [1F] , [26] , 25:10:16:42:25:329
[01] , [5C] , [00] , [65] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:25:396
