[02] , [5B] , [00] , [39] , [1A] , [8E] , [FF] , [30] , 25:10:15:53:17:837
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:53:17:937
[01] , [5B] , [00] , [3A] , [FA] , [92] , [FB] , [3E] , 25:10:15:53:17:937
[02] , [5B] , [00] , [3A] , [1B] , [8E] , [FF] , [30] , 25:10:15:53:17:971
[03] , [5C] , [00] , [3B] , [FF] , [77] , [12] , [DA] , 25:10:15:53:18:004
[01] , [5B] , [00] , [3B] , [FA] , [92] , [FC] , [3E] , 25:10:15:53:18:070
[02] , [5B] , [00] , [3C] , [1B] , [8F] , [FE] , [30] , 25:10:15:53:18:104
[03] , [5B] , [00] , [3C] , [FF] , [77] , [12] , [DA] , 25:10:15:53:18:137
[01] , [5B] , [00] , [3D] , [FB] , [92] , [FD] , [3E] , 25:10:15:53:18:204
[02] , [5B] , [00] , [3D] , [1C] , [8F] , [FE] , [31] , 25:10:15:53:18:237
[03] , [5C] , [00] , [3D] , [FE] , [77] , [12] , [DA] , 25:10:15:53:18:270
[01] , [5B] , [00] , [3E] , [FB] , [92] , [FD] , [3E] , 25:10:15:53:18:337
[02] , [5B] , [00] , [3E] , [1C] , [8F] , [FE] , [31] , 25:10:15:53:18:370
[03] , [5B] , [00] , [3F] , [FF] , [77] , [12] , [DA] , 25:10:15:53:18:404
[01] , [5B] , [00] , [3F] , [FB] , [92] , [FE] , [3E] , 25:10:15:53:18:470
[02] , [5B] , [00] , [40] , [1C] , [8F] , [FD] , [32] , 25:10:15:53:18:504
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:53:18:603
[01] , [5B] , [00] , [41] , [FC] , [92] , [FF] , [3E] , 25:10:15:53:18:603
[02] , [5B] , [00] , [41] , [1C] , [8F] , [FD] , [32] , 25:10:15:53:18:637
[03] , [5B] , [00] , [41] , [FE] , [77] , [12] , [DA] , 25:10:15:53:18:670
[01] , [5B] , [00] , [42] , [FD] , [92] , [FF] , [3E] , 25:10:15:53:18:737
[02] , [5B] , [00] , [42] , [1C] , [8F] , [FD] , [32] , 25:10:15:53:18:770
[03] , [5C] , [00] , [43] , [FF] , [77] , [12] , [DA] , 25:10:15:53:18:803
[01] , [5B] , [00] , [43] , [FE] , [92] , [00] , [3E] , 25:10:15:53:18:870
[02] , [5B] , [00] , [44] , [1C] , [8F] , [FE] , [31] , 25:10:15:53:18:903
[03] , [5B] , [00] , [44] , [FF] , [77] , [12] , [DA] , 25:10:15:53:18:936
[01] , [5B] , [00] , [45] , [FE] , [92] , [00] , [3E] , 25:10:15:53:19:003
[02] , [5B] , [00] , [45] , [1C] , [8F] , [FE] , [31] , 25:10:15:53:19:036
[03] , [5B] , [00] , [45] , [FF] , [77] , [12] , [DA] , 25:10:15:53:19:070
[01] , [5C] , [00] , [46] , [FF] , [92] , [00] , [3D] , 25:10:15:53:19:137
[02] , [5B] , [00] , [46] , [1C] , [8F] , [FE] , [31] , 25:10:15:53:19:170
[03] , [5B] , [00] , [47] , [FF] , [77] , [13] , [DA] , 25:10:15:53:19:203
[01] , [5B] , [00] , [47] , [FF] , [92] , [01] , [3D] , 25:10:15:53:19:270
[02] , [5B] , [00] , [48] , [1C] , [8F] , [FF] , [31] , 25:10:15:53:19:303
[03] , [5B] , [00] , [48] , [FF] , [77] , [13] , [DA] , 25:10:15:53:19:336
