[01] , [5A] , [00] , [EB] , [04] , [84] , [01] , [19] , 25:10:11:14:19:175
[02] , [5B] , [00] , [EB] , [04] , [8C] , [10] , [30] , 25:10:11:14:19:208
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:19:308
[01] , [5A] , [00] , [EC] , [04] , [84] , [00] , [19] , 25:10:11:14:19:308
[02] , [5A] , [00] , [ED] , [03] , [8C] , [0E] , [30] , 25:10:11:14:19:342
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:19:442
[01] , [5A] , [00] , [EE] , [05] , [84] , [00] , [19] , 25:10:11:14:19:442
[02] , [5A] , [00] , [EE] , [03] , [8C] , [0F] , [30] , 25:10:11:14:19:475
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:19:575
[01] , [5B] , [00] , [EF] , [06] , [84] , [00] , [18] , 25:10:11:14:19:575
[02] , [5B] , [00] , [EF] , [04] , [8C] , [0F] , [30] , 25:10:11:14:19:608
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:19:741
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:19:741
[02] , [5B] , [00] , [F1] , [04] , [8C] , [0F] , [2F] , 25:10:11:14:19:741
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:19:841
[01] , [5A] , [00] , [F1] , [05] , [84] , [FF] , [19] , 25:10:11:14:19:841
[02] , [5B] , [00] , [F2] , [04] , [8C] , [0F] , [30] , 25:10:11:14:19:875
[03] , [5B] , [00] , [18] , [01] , [6D] , [0D] , [C1] , 25:10:11:14:19:908
[01] , [5B] , [00] , [F3] , [04] , [84] , [FF] , [19] , 25:10:11:14:19:975
[02] , [5B] , [00] , [F3] , [04] , [8C] , [0F] , [30] , 25:10:11:14:20:008
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:20:108
[01] , [5B] , [00] , [F4] , [03] , [84] , [FF] , [19] , 25:10:11:14:20:108
[02] , [5B] , [00] , [F5] , [05] , [8C] , [0F] , [30] , 25:10:11:14:20:141
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:20:241
[01] , [5B] , [00] , [F5] , [03] , [84] , [FF] , [1A] , 25:10:11:14:20:241
[02] , [5A] , [00] , [F6] , [04] , [8C] , [0F] , [30] , 25:10:11:14:20:274
[03] , [5B] , [00] , [1C] , [03] , [6D] , [0E] , [C1] , 25:10:11:14:20:308
[01] , [5A] , [00] , [F7] , [02] , [84] , [FE] , [1A] , 25:10:11:14:20:374
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:20:508
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:20:508
[01] , [5B] , [00] , [F8] , [02] , [84] , [FE] , [1A] , 25:10:11:14:20:508
[02] , [5A] , [00] , [F9] , [04] , [8C] , [0F] , [30] , 25:10:11:14:20:541
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:20:641
[01] , [5B] , [00] , [F9] , [02] , [84] , [FE] , [1A] , 25:10:11:14:20:641
[02] , [5A] , [00] , [FA] , [05] , [8C] , [0F] , [30] , 25:10:11:14:20:674
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:20:774
[01] , [5B] , [00] , [FB] , [02] , [84] , [FE] , [19] , 25:10:11:14:20:774
[02] , [5A] , [00] , [FB] , [04] , [8C] , [10] , [30] , 25:10:11:14:20:808
[03] , [5B] , [00] , [21] , [05] , [6C] , [0E] , [C1] , 25:10:11:14:20:841
[01] , [5B] , [00] , [FC] , [03] , [84] , [FF] , [19] , 25:10:11:14:20:908
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:20:974
[03] , [5B] , [00] , [23] , [05] , [6C] , [0E] , [C1] , 25:10:11:14:20:974
[01] , [5B] , [00] , [FD] , [03] , [84] , [FF] , [19] , 25:10:11:14:21:040
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:21:107
[03] , [5B] , [00] , [24] , [04] , [6C] , [0E] , [C1] , 25:10:11:14:21:107
[01] , [5B] , [00] , [FF] , [03] , [84] , [00] , [19] , 25:10:11:14:21:174
[02] , [5A] , [00] , [FF] , [04] , [8C] , [0F] , [30] , 25:10:11:14:21:207
[03] , [5B] , [00] , [25] , [04] , [6C] , [0E] , [C1] , 25:10:11:14:21:240
[01] , [5A] , [00] , [00] , [03] , [84] , [00] , [19] , 25:10:11:14:21:307
[02] , [5A] , [00] , [01] , [03] , [8C] , [0F] , [30] , 25:10:11:14:21:341
